category_no,category_name,view_cnt,fixed_tags,cate_img,captured_at_utc,platform
40077,아크 서바이벌 이볼브드,0,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7818670d90308292a.jpg,2025-08-20T05:34:47.419402+00:00,soop
40078,카운터 스트라이크 2,0,"['슈팅', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1519670d90318a084.jpg,2025-08-20T05:34:47.419402+00:00,soop
40079,다크에덴,0,"['MMORPG', '판타지']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3097670d903291fad.jpg,2025-08-20T05:34:47.419402+00:00,soop
40082,도타2,0,"['MOBA', '전략']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2951670d9035aaf48.jpg,2025-08-20T05:34:47.419402+00:00,soop
40083,엘소드,0,"['MMORPG', '액션', '어드벤쳐']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/7971670d9036b286b.jpg,2025-08-20T05:34:47.419402+00:00,soop
40086,겟앰프드,0,"['격투', '캐주얼']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/8965670d9038c250b.jpg,2025-08-20T05:34:47.419402+00:00,soop
40087,이카루스,0,"['MMORPG', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/1502670d9039cbac9.jpg,2025-08-20T05:34:47.419402+00:00,soop
40088,마구마구,0,"['스포츠게임', '한게임', 'PC']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/2697670d903ad2c07.jpg,2025-08-20T05:34:47.419402+00:00,soop
40089,메이플스토리2,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9606670d903bda2d4.png,2025-08-20T05:34:47.419402+00:00,soop
40090,몬스터 헌터 월드: 아이스본,0,"['RPG', '어드벤처', '액션']",https://admin.img.sooplive.co.kr/category_img/2025/02/19/622867b57bb35722e.jpg,2025-08-20T05:34:47.419402+00:00,soop
40091,osu!,0,"['리듬게임', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/9076670d903deb71f.jpg,2025-08-20T05:34:47.419402+00:00,soop
40092,R2,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/4237670d903f004fa.jpg,2025-08-20T05:34:47.419402+00:00,soop
40093,라그나로크 온라인,0,"['MMORPG', '어드벤처']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/3922670d904007eb4.png,2025-08-20T05:34:47.419402+00:00,soop
40094,톰 클랜시의 레인보우 식스 시즈,0,"['슈팅', 'FPS', '액션']",https://admin.img.sooplive.co.kr/category_img/2024/10/15/5451670d90410fee3.png,2025-08-20T05:34:47.419402+00:00,soop
