captured_at_utc,category_no,category_name,view_cnt
2025-08-20 06:00:00+00:00,40295,인왕 2 더 컴플리트 에디션,0
2025-08-20 06:00:00+00:00,40296,그란 투리스모7,0
2025-08-20 06:00:00+00:00,40297,R.E.P.O.,0
2025-08-20 06:00:00+00:00,40298,BLEACH 리버스 오브 소울즈,0
2025-08-20 06:00:00+00:00,40299,귀귀살전,0
2025-08-20 06:00:00+00:00,40300,더 헌터: 야생의 부름,0
2025-08-20 06:00:00+00:00,40301,배틀 에이스,0
2025-08-20 06:00:00+00:00,40302,인투 더 데드: 아워 다키스트 데이즈,0
2025-08-20 06:00:00+00:00,40303,세피리아,0
2025-08-20 06:00:00+00:00,40304,클레르 옵스퀴르: 33 원정대,0
2025-08-20 06:00:00+00:00,40305,둠: 더 다크 에이지스,0
2025-08-20 06:00:00+00:00,40306,월드 오브 워쉽,0
2025-08-20 06:00:00+00:00,40307,당직근무,0
2025-08-20 06:00:00+00:00,40308,젓가락질 개론,0
2025-08-20 06:00:00+00:00,40309,테라리아,0
2025-08-20 06:00:00+00:00,40310,엘든 링 밤의 통치자,0
2025-08-20 06:00:00+00:00,40311,마리오 카트 월드,0
2025-08-20 06:00:00+00:00,40312,빈딕투스: 디파잉 페이트,0
2025-08-20 06:00:00+00:00,40313,데스 스트랜딩 2,0
2025-08-20 06:00:00+00:00,40314,구스 구스 덕,0
2025-08-20 06:00:00+00:00,40315,백팩 배틀즈,0
2025-08-20 06:00:00+00:00,40316,메카 브레이크,0
2025-08-20 06:00:00+00:00,40317,브로큰 애로우,0
2025-08-20 06:00:00+00:00,40318,듄: 어웨이크닝,0
2025-08-20 06:00:00+00:00,40319,섀도우버스 월즈 비욘드,0
2025-08-20 06:00:00+00:00,40320,프린세스 메이커,0
2025-08-20 06:00:00+00:00,40321,프린세스 메이커 2 리제네레이션,0
2025-08-20 06:00:00+00:00,40322,프린세스 메이커: 예언의 아이들,0
2025-08-20 06:00:00+00:00,40323,판타지 라이프 i 빙글빙글 용과 시간을 훔치는 소녀,0
2025-08-20 06:00:00+00:00,40324,피크,0
2025-08-20 06:00:00+00:00,40325,V 라이징,0
2025-08-20 06:00:00+00:00,40326,톰 클랜시의 더 디비전 2,0
2025-08-20 06:00:00+00:00,40327,톰 클랜시의 레인보우 식스 시즈 X,0
2025-08-20 06:00:00+00:00,40328,드래곤 퀘스트 XI: 지나간 시간을 찾아서,0
2025-08-20 06:00:00+00:00,40329,드래곤 퀘스트 빌더즈 2: 파괴신 시도와 텅 빈 섬,0
2025-08-20 06:00:00+00:00,40330,동키콩 바난자,0
2025-08-20 06:00:00+00:00,40331,명말: 공허의 깃털,0
2025-08-20 06:00:00+00:00,40332,레이싱 마스터,0
2025-08-20 06:00:00+00:00,40333,마피아: 올드 컨트리,0
2025-08-20 06:00:00+00:00,40334,낙원: LAST PARADISE,0
2025-08-20 06:00:00+00:00,40335,데이브 더 다이버,0
2025-08-20 06:00:00+00:00,40336,DNF Duel,0
2025-08-20 06:00:00+00:00,40337,마비노기 영웅전,0
2025-08-20 06:00:00+00:00,40338,테일즈위버,0
2025-08-20 06:00:00+00:00,60001,KBL,0
2025-08-20 06:00:00+00:00,60002,WKBL,0
2025-08-20 06:00:00+00:00,100000,국내프로배구,0
2025-08-20 06:00:00+00:00,130000,토크/캠방,26573
2025-08-20 06:00:00+00:00,140001,두산,0
2025-08-20 06:00:00+00:00,140002,한화,0
2025-08-20 06:00:00+00:00,140003,롯데,0
2025-08-20 06:00:00+00:00,140004,키움,0
2025-08-20 06:00:00+00:00,140005,삼성,0
2025-08-20 06:00:00+00:00,140006,KIA,0
2025-08-20 06:00:00+00:00,140007,LG,0
2025-08-20 06:00:00+00:00,140008,SSG,0
2025-08-20 06:00:00+00:00,140009,중립,0
2025-08-20 06:00:00+00:00,140010,NC,0
2025-08-20 06:00:00+00:00,140011,kt,0
2025-08-20 06:00:00+00:00,170000,국내프로축구,0
2025-08-20 06:00:00+00:00,180000,해외프로야구,2
2025-08-20 06:00:00+00:00,190000,격투기,0
2025-08-20 06:00:00+00:00,270001,국내주식,4
2025-08-20 06:00:00+00:00,270002,국내선물,0
2025-08-20 06:00:00+00:00,270003,해외주식,0
2025-08-20 06:00:00+00:00,270004,해외선물,0
2025-08-20 06:00:00+00:00,270005,부동산,0
2025-08-20 06:00:00+00:00,270006,암호화폐,489
2025-08-20 06:00:00+00:00,270007,기타 금융,2
2025-08-20 06:00:00+00:00,270008,주식,89
2025-08-20 06:00:00+00:00,270009,파생,1
2025-08-20 06:00:00+00:00,290001,자습,11
2025-08-20 06:00:00+00:00,290002,지식,2
2025-08-20 06:00:00+00:00,290005,시사,0
2025-08-20 06:00:00+00:00,290006,종교,59
